ID,NOM,NOM_M,INSEE_ARM,INSEE_COM,POPULATION,geometry
ARR_MUNI0000000009751758,Lyon 4e Arrondissement,LYON 4E ARRONDISSEMENT,69384,69123,35603,"POLYGON ((4.819006005165525 45.78978927532067, 4.843064423001115 45.7787783557555, 4.839874055053632 45.77331433197334, 4.812871856832102 45.77130328559548, 4.819006005165525 45.78978927532067))"
ARR_MUNI0000000009736043,Paris 9e Arrondissement,PARIS 9E ARRONDISSEMENT,75109,75056,58951,"POLYGON ((2.3271647253730343 48.88345508678249, 2.349464985893749 48.88372492299804, 2.3479182282125945 48.87068784518641, 2.325888016639641 48.86957652370996, 2.3271647253730343 48.88345508678249))"
ARR_MUNI0000000009761159,Marseille 5e Arrondissement,MARSEILLE 5E ARRONDISSEMENT,13205,13055,45449,"POLYGON ((5.406208443393898 43.296234988213044, 5.415592738399439 43.29265250368759, 5.3950325824634 43.28480787875517, 5.385559858076158 43.29429161775234, 5.406208443393898 43.296234988213044))"
ARR_MUNI0000000009736034,Paris 19e Arrondissement,PARIS 19E ARRONDISSEMENT,75119,75056,181616,"POLYGON ((2.403654858139889 48.88167694638392, 2.376904765014236 48.87204825944322, 2.3647135721134167 48.8843661865799, 2.3845300456163376 48.9021475933584, 2.403654858139889 48.88167694638392))"
ARR_MUNI0000000009760877,Marseille 14e Arrondissement,MARSEILLE 14E ARRONDISSEMENT,13214,13055,59948,"POLYGON ((5.395328158450921 43.36678485700945, 5.415375589668173 43.378738997876575, 5.41114249505932 43.33923672725186, 5.393640028265479 43.31646403908486, 5.371576868060093 43.320084931213735, 5.3668057811027605 43.33819649644574, 5.395328158450921 43.36678485700945))"
ARR_MUNI0000000009760876,Marseille 15e Arrondissement,MARSEILLE 15E ARRONDISSEMENT,13215,13055,79656,"POLYGON ((5.3392074961425005 43.37714329728549, 5.370074919836771 43.389675098688166, 5.373374328872801 43.37175794484809, 5.39828957956441 43.368637215828436, 5.3668057811027605 43.33819649644574, 5.369144484299529 43.31665712072041, 5.337797284884635 43.33955283241126, 5.35414676316927 43.35091255307813, 5.3392074961425005 43.37714329728549))"
ARR_MUNI0000000009736532,Paris 12e Arrondissement,PARIS 12E ARRONDISSEMENT,75112,75056,140954,"POLYGON ((2.467319402317011 48.839099389275724, 2.4626960627523533 48.81905977056919, 2.4373286146864244 48.81817682286433, 2.3644554356846004 48.846185908490625, 2.467319402317011 48.839099389275724))"
ARR_MUNI0000000009736553,Paris 16e Arrondissement,PARIS 16E ARRONDISSEMENT,75116,75056,162061,"POLYGON ((2.245514981559115 48.84685567909526, 2.224217174940928 48.85373814925437, 2.245703788405577 48.87645923248163, 2.3016353467206208 48.86449106267656, 2.2627915245265147 48.83392337352911, 2.245514981559115 48.84685567909526))"
ARR_MUNI0000000009761154,Marseille 11e Arrondissement,MARSEILLE 11E ARRONDISSEMENT,13211,13055,57924,"POLYGON ((5.505335626354491 43.283165181237024, 5.513159674968463 43.263323806382886, 5.463314152147574 43.253924363467156, 5.451809360667764 43.25566751536899, 5.456016230539497 43.27604821717026, 5.424871412562755 43.29297209058812, 5.522476908696435 43.32094098778223, 5.532224917315316 43.298569531183844, 5.505335626354491 43.283165181237024))"
ARR_MUNI0000000009761153,Marseille 12e Arrondissement,MARSEILLE 12E ARRONDISSEMENT,13212,13055,63108,"POLYGON ((5.466613093226995 43.32299944875754, 5.476674603150118 43.30013221314424, 5.406653992396625 43.29873241841005, 5.41804819546172 43.32065036465312, 5.466613093226995 43.32299944875754))"
